Name,Gender,BloodStatus,Species,House_id,Affiliation_id,Wand,Description
Myrtle Warren,Female,Muggle-born,Human,2,1,"N/A, N/A, N/A","Commonly known as Moaning Myrtle, is a Hogwarts ghost who haunts the girls' bathroom and is known for her wailing and melancholic demeanor"
Dudley Dursley,Male,Muggle,Human,5,1,"N/A, N/A, N/A","Harry Potter's spoiled and often cruel cousin, known for his gluttony and initial hostility towards Harry."
James Potter I,Male,Pure-Blood,Human,1,"22,10","11"", Mahagony, N/A","Was also known as Prongs, was one of Harry Potter's parents, and a skilled wizard who played a significant role in the First and Second Wizarding Wars."
Blaise Zabini,Male,Pure-Blood,Human,4,28,"N/A, N/A, N/A",Known for his aloof demeanor and affiliation with Draco Malfoy's group.
Barty Crouch Jr,Male,Pure-Blood,Human,5,"39, 32","N/A, N/A, N/A","Barty Crouch Jr. is a cunning and loyal Death Eater who was imprisoned in Azkaban but escaped, serving Lord Voldemort's dark agenda."
Aurelius Dumbledore,Male,Half-Blood,Human,5,1,"N/A, Ebony, N/A",Not too much known. Also known as Credence Barebone. A character whose existence and true identity are subject to debate and mystery.
Padma Patil,Female,Half-Blood,Human,2,26,"N/A, N/A, N/A",A twin
Parvati Patil,Female,Half-Blood,Human,1,26,"N/A, N/A, N/A",A twin
Pomona Sprout,Female,Pure-Blood,Human,3,1,"N/A, N/A, N/A","Professor of Herbology at Hogwarts School of Witchcraft and Wizardry and the head of Hufflepuff House, known for her expertise in magical plants and her dedication to her students."
Gellert Grindelwald,Male,Pure-Blood,Human,5,"40, 18","15, N/A, Thestral Hair","A dark wizard who sought to establish a new order in the wizarding world, advocating for the superiority of wizards over Muggles."
Nagini,Female,Underbeing,Human,5,1,"N/A, N/A, N/A","Nagini was aMaledictuswho became a huge, magical, diamond-patterned snake and a companion to Voldemort."
Molly Weasley,Female,Pure-Blood,Human,1,22,"N/A, N/A, N/A","Molly Weasley is a loving and fiercely protective mother of seven children,known for her warm-hearted nature and her willingness to stand up against dark forces to protect her family."
Ariana Dumbledore,Female,Half-Blood,Human,5,1,"N/A, N/A, N/A",A young witch who suffered a traumatic event in her childhood that left her emotionally scarred and unable to control her magic.
Petunia Evans Dursley,Female,Muggle,Human,5,1,"N/A, N/A, N/A","Harry's aunt, who raised Harry."
Lily Potter,Female,Muggle-born,Human,1,22,"10"", Willow, N/A","Lily Potter is Harry Potter's mother, known for her sacrificial love and her protection of Harry from Lord Voldemort's deadly curse."
Newt Scamander,Male,Half-Blood,Human,3,1,"N/A, N/A, N/A","A renowned Magizoologist and the author of ""Fantastic Beasts and Where to Find Them,"" known for his deep affinity for magical creatures and his adventures in the wizarding world."
Dominique Weasley,Unknown,Pure-Blood,Human,5,1,"N/A, N/A, N/A",Dominique Weasley is the middle child of Bill & Fleur Weasley
Arthur Weasley,Male,Pure-Blood,Human,1,"22, 25","N/A, N/A, N/A",Kind-hearted and inquisitive wizard known for his fascination with Muggle inventions
Cho Chang,Female,Half-Blood,Human,2,"26,10","N/A, N/A, N/A",Cho Chang is known for her Quidditch skills as a Seeker for the Ravenclaw team and for her brief romantic involvement with Harry Potter.
James Potter II,Male,Half-Blood,Human,1,1,"N/A, N/A, N/A",The eldest child and first son of Harry and Ginevra Potter
Viktor Krum,Male,Half-Blood,Human,5,"41,10","10"", Hornbeam, Dragon Heartstring",A highly skilled Quidditch player and a Seeker for the Bulgarian national Quidditch team. 
Cormac McLaggen,Male,Pure-Blood,Human,1,28,"N/A, N/A, N/A",Known for his overconfident and sometimes arrogant personality.
Pansy Parkinson,Female,Pure-Blood,Human,4,30,"N/A, N/A, N/A","Portrayed as snobbish, prejudiced, and often cruel towards students from other houses, particularly Gryffindor."
Edward Lupin,Male,Half-Blood,Human,3,1,"N/A, N/A, N/A","The only child and son of the lateRemus LupinandNymphadora Tonks. He was, like his mother, aMetamorphmagus, but did not inherit his father'slycanthropy"
Rita Skeeter,Female,Half-Blood,Human,5,42,"N/A, N/A, N/A",A reporter for theDaily Prophetwho is known for her rubbishy exposs of well-known wizards.
Lavender Brown,Female,Pure-Blood,Human,1,26,"N/A, N/A, N/A","Particularly fond of Divination, plays a minor role in the Battle of Hogwarts."
Olympe Maxime,Female,Half-Blood,Half-Giant/Half-Human,5,22,"N/A, N/A, N/A",The headmistress of Beauxbatons Academy of Magic and her impressive stature as a half-giantess. She is a dignified and elegant witch who represents her school at the Triwizard Tournament
